Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonEC2,EBS:IO-Write,USW2-EBS:VolumeIOUsage,,05/19/13 00:00:00,05/19/13 01:00:00,1789
AmazonEC2,EBS:IO-Read,USW2-EBS:VolumeIOUsage,,05/19/13 00:00:00,05/19/13 01:00:00,1498
AmazonEC2,RunInstances,USW2-BoxUsage:t1.micro,,05/19/13 00:00:00,05/19/13 01:00:00,1
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,05/19/13 00:00:00,05/19/13 01:00:00,8589934592
AmazonEC2,RunInstances,USW2-DataTransfer-In-Bytes,,05/19/13 00:00:00,05/19/13 01:00:00,8884
AmazonEC2,RunInstances,USW2-DataTransfer-Out-Bytes,,05/19/13 00:00:00,05/19/13 01:00:00,8816
AmazonEC2,EBS:IO-Write,USW2-EBS:VolumeIOUsage,,05/19/13 01:00:00,05/19/13 02:00:00,11
AmazonEC2,EBS:IO-Read,USW2-EBS:VolumeIOUsage,,05/19/13 01:00:00,05/19/13 02:00:00,39
AmazonEC2,RunInstances,USW2-BoxUsage:t1.micro,,05/19/13 01:00:00,05/19/13 02:00:00,1
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,05/19/13 01:00:00,05/19/13 02:00:00,8589934592
AmazonEC2,RunInstances,USW2-DataTransfer-In-Bytes,,05/19/13 01:00:00,05/19/13 02:00:00,9804
AmazonEC2,RunInstances,USW2-DataTransfer-Out-Bytes,,05/19/13 01:00:00,05/19/13 02:00:00,9804
AmazonEC2,EBS:IO-Write,USW2-EBS:VolumeIOUsage,,05/19/13 02:00:00,05/19/13 03:00:00,3567
AmazonEC2,EBS:IO-Read,USW2-EBS:VolumeIOUsage,,05/19/13 02:00:00,05/19/13 03:00:00,5120
AmazonEC2,RunInstances,USW2-BoxUsage:t1.micro,,05/19/13 02:00:00,05/19/13 03:00:00,1
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,05/19/13 02:00:00,05/19/13 03:00:00,17179869184
AmazonEC2,RunInstances,USW2-DataTransfer-In-Bytes,,05/19/13 02:00:00,05/19/13 03:00:00,7877
AmazonEC2,RunInstances,USW2-DataTransfer-Out-Bytes,,05/19/13 02:00:00,05/19/13 03:00:00,4879
AmazonEC2,PublicIP-In,USW2-DataTransfer-Regional-Bytes,,05/19/13 02:00:00,05/19/13 03:00:00,192
AmazonEC2,RunInstances:S0004,USW2-SpotUsage:cc2.8xlarge,,05/19/13 02:00:00,05/19/13 03:00:00,1
AmazonEC2,EBS:IO-Write,USW2-EBS:VolumeIOUsage,,05/19/13 03:00:00,05/19/13 04:00:00,11556
AmazonEC2,EBS:IO-Read,USW2-EBS:VolumeIOUsage,,05/19/13 03:00:00,05/19/13 04:00:00,13507
AmazonEC2,RunInstances,USW2-BoxUsage:t1.micro,,05/19/13 03:00:00,05/19/13 04:00:00,1
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,05/19/13 03:00:00,05/19/13 04:00:00,17179869184
AmazonEC2,RunInstances,USW2-DataTransfer-In-Bytes,,05/19/13 03:00:00,05/19/13 04:00:00,5691901
AmazonEC2,RunInstances,USW2-DataTransfer-Out-Bytes,,05/19/13 03:00:00,05/19/13 04:00:00,853321
AmazonEC2,RunInstances:S0004,USW2-SpotUsage:cc2.8xlarge,,05/19/13 03:00:00,05/19/13 04:00:00,1
AmazonEC2,PublicIP-Out,USW2-USW1-AWS-Out-Bytes,,05/19/13 03:00:00,05/19/13 04:00:00,403587
AmazonEC2,PublicIP-In,USW2-USW1-AWS-In-Bytes,,05/19/13 03:00:00,05/19/13 04:00:00,349386
AmazonEC2,EBS:IO-Write,USW2-EBS:VolumeIOUsage,,05/19/13 04:00:00,05/19/13 05:00:00,65
AmazonEC2,EBS:IO-Read,USW2-EBS:VolumeIOUsage,,05/19/13 04:00:00,05/19/13 05:00:00,18
AmazonEC2,RunInstances,USW2-BoxUsage:t1.micro,,05/19/13 04:00:00,05/19/13 05:00:00,1
